cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
776606,2022,0,0,0,0,0,0,2334,0,0,-2334,200,0,0,0,0,0,0,0,0,0
776827,2022,0,279625,90653,122899,66073,0,573488,0,0,-293863,200,0,402581,415897,423687,0,7790,0,11816,2
776908,2022,787102,787511,544690,234160,8661,0,1441405,0,0,133208,100000,0,757917,757565,742437,15128,0,11846,0,6
777229,2022,594624,926231,186774,507147,232310,0,1056458,0,0,464397,200510,0,2812036,2812036,2766820,45216,0,29099,0,9
777288,2022,1757324,1909354,798120,926897,184337,0,1532490,0,0,2134188,12620,0,5532092,5552944,5315041,237903,0,202021,0,3
777369,2022,318200,116259,0,69605,46654,0,244400,0,0,190059,50000,0,0,28918,25539,3379,0,3110,0,1
777857,2022,0,9616,8498,0,1118,0,40901,0,0,-31285,823,0,69350,69350,101747,0,32397,0,33322,4
777997,2022,0,49489,49489,0,0,0,3591685,0,0,-3542196,732600,0,0,0,0,0,0,0,0,0
778003,2022,180779,921880,75287,835250,11343,0,745341,0,0,357318,200,0,0,12949,19887,0,6938,0,7316,0
778011,2022,0,160510,0,121584,38926,0,31251,0,0,129259,950,0,7916,27400,50877,0,23477,0,23555,1
778100,2022,424,6930,0,5989,941,0,76193,0,0,-68839,200,0,6265,6265,13575,0,7310,0,7310,1
778127,2022,124765,139440,1925,72775,64740,0,84506,0,0,179699,562000,0,699904,699904,611814,88090,0,81231,0,1
778607,2022,813347,400334,146207,61107,193020,18849,802060,0,0,430470,200,0,1420789,1441406,1252311,189095,0,174677,0,7
778941,2022,330911,1302218,1139192,72275,90751,22977,669843,0,0,986263,200220,0,13046217,13050727,12300722,750005,0,647809,0,25
779351,2022,4407,56447,32481,0,23966,0,38587,0,0,22267,200,0,181259,181263,186680,0,5417,0,7242,3
779602,2022,1558645,549205,292894,139072,117239,0,1281819,0,0,826031,144213,0,766983,874415,865757,8658,0,7836,0,4
779947,2022,0,7592,0,5496,2096,0,5879,0,0,1713,200,0,0,85866,11234,74632,0,72056,0,0
780003,2022,750462,1016409,20211,647509,348689,0,886620,0,0,880251,11110,0,3201867,3279992,3121535,158457,0,125703,0,8
780046,2022,388868,33508,0,33290,218,0,804254,0,0,-381878,88750,0,0,0,67965,0,67965,0,67965,0
780100,2022,0,95758,6305,2634,86819,0,8157,0,0,87601,200,0,327481,327729,237342,90387,0,87175,0,1
780160,2022,32600,263814,0,160408,103406,0,58364,0,0,238050,369,0,272420,272420,29415,243005,0,237607,0,0
780224,2022,443260,60936,0,60415,521,0,600650,0,0,-96454,2010,0,0,0,0,0,0,0,0,0
780313,2022,43484,180739,33161,144552,3026,0,281567,0,0,-57344,22970,0,349117,349117,380766,0,31649,0,35140,1
780410,2022,1913425,3797811,300718,2112800,1384293,0,1606268,0,0,4104968,300000,0,2506296,2610438,2286399,324039,0,324039,0,14
780585,2022,126411,843755,411221,389638,42896,131,833381,0,0,136916,200,0,2336804,2389768,2200074,189694,0,165796,0,3
780925,2022,364323,837834,354667,7739,475428,0,821999,0,0,380158,100000,0,4088747,4088747,4028839,59908,0,51465,0,17
781068,2022,18792,20773,7867,0,12906,0,55035,10177,0,-25647,700,0,138425,168928,144354,24574,0,23189,0,1
781807,2022,15498,210152,0,161587,48565,0,22311,0,0,203339,500,0,304862,331910,121483,210427,0,202739,0,1
782055,2022,16753,698558,30755,26815,640988,0,117013,0,0,598298,210,0,1039717,1096210,487449,608761,0,597686,0,3
782268,2022,528832,274987,19160,48005,238457,0,356541,0,0,447278,30000,0,1391593,1444793,1078107,366686,0,353048,0,9
782314,2022,3629,2233,0,1132,1101,0,4500,0,0,1362,200,0,0,0,0,0,0,0,0,0
782349,2022,220005,779262,495008,160753,123501,0,1042641,0,0,-43374,200,0,5589577,5592136,5562331,29805,0,25694,0,12
782500,2022,5699872,4573784,2243540,2184165,146079,13160,7111865,0,0,3174951,99690,0,20649876,21792176,21651868,140308,0,138099,0,33
782810,2022,662101,708566,517161,101209,90196,0,311762,0,0,1058905,3300,0,702802,835270,781073,54197,0,46961,0,4
782845,2022,0,189512,0,0,189512,0,11585214,0,0,-11395702,680350,0,0,0,0,0,0,0,0,0
782896,2022,0,1171,0,1171,0,0,46794,0,0,-45623,6000,0,0,0,0,0,0,0,0,0
783107,2022,20078,72398,10316,3860,58222,0,206486,0,0,-114010,200,0,105248,106499,118348,0,11849,0,15007,0
783123,2022,10011,53000,420,0,52580,0,10337,0,0,52674,210,0,291830,291830,252911,38919,0,36000,0,3
783239,2022,73474,465660,115287,120118,225383,148539,80876,0,0,606797,115720,0,1845573,1857512,1630685,226827,0,213759,0,15
783336,2022,24020,612288,123394,226096,53440,824,449984,0,0,187148,5000,0,1324491,1324952,1188428,136524,0,123435,0,2
783379,2022,32781,209532,0,201240,8292,0,57197,0,0,185116,260,0,641998,642073,459911,182162,0,177536,0,6
783425,2022,3967,22197,22154,15,28,0,69878,0,0,-43714,200,0,0,0,0,0,0,0,0,0
783433,2022,0,343771,9,110681,233081,0,7081,0,0,336690,7590,0,193210,193210,104781,88429,0,86536,0,3
783468,2022,63606,209147,20736,47881,140530,334,150224,0,0,122863,220,0,483785,484036,359356,124680,0,119937,0,4
783492,2022,54602,11109,0,615,10494,6509,40918,0,0,31302,200,0,66630,66177,76434,0,10257,0,12217,0
