cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
775961,2021,4232,32442,7922,22292,2228,0,72381,0,0,-35707,47012,0,123491,125381,184486,0,59105,0,59105,1
776070,2021,0,52381,40726,307,11348,0,20140,0,0,32241,200,0,19000,19000,13799,5201,0,5011,0,1
776207,2021,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0
776312,2021,1395,259995,182767,903,76325,0,84045,0,0,177345,45650,0,1635333,1639518,1524387,115131,0,97811,0,2
776584,2021,0,331,0,0,331,0,0,0,0,331,200,0,0,0,100,0,100,0,100,0
776606,2021,0,0,0,0,0,0,2334,0,0,-2334,200,0,0,0,0,0,0,0,0,0
776827,2021,0,253808,102901,102094,48813,0,535854,0,0,-282046,200,0,281960,316986,375685,0,58699,0,61518,3
776908,2021,814322,720213,524788,194292,1133,0,1413173,0,0,121362,100000,0,670348,696223,688394,7829,0,6381,0,6
777229,2021,612832,691725,243089,338117,110519,0,869259,0,0,435298,200510,0,3238329,3238329,3208101,30228,0,21536,0,9
777288,2021,2332117,1769401,1095584,462710,211107,0,2169351,0,0,1932167,12620,0,2925670,2942394,2806211,136183,0,112416,0,3
777369,2021,222087,55801,0,48660,7141,0,458176,0,0,-180288,50000,0,0,6155,45494,0,39339,0,39339,1
777580,2021,0,0,0,0,0,0,1466,0,0,-1466,402435,0,0,0,0,0,0,0,0,0
777857,2021,0,21269,19698,0,1571,0,19233,0,0,2036,823,0,120490,120490,113497,6993,0,5788,0,4
777997,2021,0,49489,49489,0,0,0,3591685,0,0,-3542196,732600,0,0,0,0,0,0,0,0,0
778003,2021,180779,911208,73727,836370,1111,0,727353,0,0,364634,200,0,1261,31196,40420,0,9224,0,10155,0
778011,2021,66753,826540,0,815800,10740,0,401184,0,0,492109,950,0,1404668,1486400,1350675,135725,0,121015,0,24
778100,2021,816,5860,0,4435,1425,0,68205,0,0,-61529,200,0,8855,8855,11524,0,2669,0,2669,1
778127,2021,119421,110809,560,62379,47870,0,131762,0,0,98468,562000,0,519111,519263,430086,89177,0,84928,0,1
778607,2021,750507,325810,98364,167609,59837,17450,837974,0,0,255793,200,0,1140743,1148649,1018004,130645,0,119163,0,7
778941,2021,292415,1250491,1055839,46874,147778,40422,673297,0,0,910031,200220,0,11385679,11417937,10785448,632489,0,542057,0,25
779351,2021,9301,55694,31964,614,23116,0,35425,0,0,29570,200,0,173174,173730,169905,3825,0,2926,0,2
779602,2021,567570,485297,9549,105744,370004,0,234672,0,0,818195,144213,0,921736,1012003,749421,262582,0,262582,0,4
779947,2021,0,32838,0,16267,16571,0,103182,0,0,-70344,200,0,366991,413232,401783,11449,0,8810,0,2
780003,2021,773075,1348291,51883,777754,518654,626,716390,0,0,1405602,11110,0,3203352,3259711,2543035,716676,0,691194,0,10
780046,2021,388868,33643,0,33285,358,0,736424,0,0,-313913,88750,0,0,0,70663,0,70663,0,70663,0
780100,2021,0,61915,742,2634,58539,0,10755,0,0,51160,200,0,236468,236468,183368,53100,0,50734,0,1
780160,2021,40795,292415,0,153473,138942,0,83509,0,0,249701,369,0,277890,277890,20458,257432,0,249262,0,0
780224,2021,373986,48324,0,48041,283,0,518764,0,0,-96454,2010,0,0,0,0,0,0,0,0,0
780313,2021,12692,246426,188362,54929,3135,0,281322,0,0,-22204,22970,0,27432,27432,72194,0,44762,0,45036,4
780410,2021,2175246,2164578,69585,1214269,880724,3300,562195,0,0,3780929,50000,0,1907391,1996458,1936811,59647,0,49296,0,3
