cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
18227066,2017,56302,84473,5578,16053,62842,100,18099,0,0,122776,200,0,41212,41212,25785,15427,0,13896,0,0
18233025,2017,147637,3425,3158,267,0,0,183568,0,0,-32506,200,0,4908,4908,2697,2211,0,2064,0,0
18234829,2017,0,496,0,488,8,0,136725,0,0,-136229,200,0,0,0,0,0,0,0,0,0
18241397,2017,466,55031,30676,4529,19826,0,53812,0,0,1685,200,0,0,0,0,0,0,0,0,0
18241400,2017,1098,157227,5943,15020,136264,0,22024,0,0,136301,200,0,168650,168650,87657,80993,0,78912,0,0
18241435,2017,168826,248895,0,36790,212105,0,12412,0,0,405309,200,0,172491,179098,82075,97023,0,90945,0,0
18241443,2017,16074,895039,398398,496427,214,0,575003,0,0,336110,200,0,18804,18804,18458,346,0,0,218,0
18244806,2017,101956,24,0,24,0,0,102131,0,0,-151,200,0,0,0,186,0,186,0,186,0
18248395,2017,135697,23,0,23,0,0,136068,0,0,-348,200,0,0,0,280,0,280,0,280,0
18251030,2017,106252,938,0,933,5,0,119092,0,0,-11902,200,0,0,0,0,0,0,0,0,0
18251048,2017,107702,281,0,281,0,0,108815,0,0,-832,200,0,0,0,854,0,854,0,854,0
18251056,2017,1635439,1960846,1192648,749022,19176,7932,3649294,0,0,-45077,200,0,1858077,1871465,3963844,0,2092379,0,2092379,17
18257571,2017,1027,786865,770348,6908,9609,0,457095,0,0,330797,200,0,819481,821381,722865,98516,0,90626,0,0
18259475,2017,0,109624,0,102700,6924,0,0,0,0,109624,1000,0,0,0,1861,0,1861,0,1861,0
18259491,2017,18150,26580,21485,5095,0,0,51246,0,0,-6516,200,0,0,0,0,0,0,0,0,0
18259513,2017,691758,778188,30537,703032,44619,0,804300,0,0,665646,250000,0,3747884,3966709,3927200,39509,0,27865,0,3
18270473,2017,106338,240010,3171,189084,47755,71751,104455,0,0,313644,1000,0,824328,827994,734207,93787,0,69735,0,0
18273887,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18273895,2017,22008,273,0,0,273,0,368948,0,0,-346667,200,0,74783,76125,106223,0,30098,0,30857,5
18273909,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18273933,2017,628955,1255049,388217,753234,113497,5700,972083,0,0,917621,200,0,2842177,2860992,2700777,160215,0,134217,0,9
18276999,2017,0,5473,0,5200,273,0,25919,0,0,-20446,200,0,46900,46900,44279,2621,0,2152,0,2
18284223,2017,265385,2930911,2118441,744787,67683,0,2165052,0,0,1031244,200,0,4254759,4266528,4147744,118784,0,91352,0,44
18285920,2017,76168,1287567,39364,1184384,63819,32099,337118,0,0,1058716,200,0,3437598,3517579,2418054,1099525,0,1058476,0,25
18285962,2017,54509,351280,0,143907,207373,0,80171,0,0,325618,200,0,771242,771915,438826,333089,0,325378,0,5
18285989,2017,0,114,0,114,0,0,787,0,0,-673,200,0,0,0,0,0,0,0,0,0
18290560,2017,5229644,6486926,2434003,3723827,315243,0,14570046,0,0,-2853476,200,0,8794316,6654572,9508857,0,2854285,0,2854285,24
18292250,2017,46,90373,13198,36851,40324,0,8342,0,0,82077,200,0,218638,218638,154421,64217,0,57691,0,0
18295885,2017,1787,1239,0,142,1097,0,26391,0,0,-23365,200,0,22300,22300,23262,0,962,0,1185,2
18304690,2017,1681066,1369947,218085,784566,367296,34539,888420,0,0,2197132,200,0,5342740,4516171,4444798,71373,0,71373,0,23
18304746,2017,4518,6478,0,3933,2545,966,2201,0,0,9761,200,0,6082,6082,19817,0,13735,0,13885,1
18304754,2017,72403,254389,10628,18455,225306,0,165120,0,0,161672,3000,0,548020,548039,250062,297977,0,291537,0,2
18307432,2017,7945544,177392,0,176856,536,0,48200869,0,171494,-40249427,20000,0,0,3219314,20852198,0,17632884,0,17632884,0
18307440,2017,9726835,3166001,0,2039517,1126484,0,14844750,175710,0,-2127624,20000,0,2789156,2962353,2190479,771874,0,641117,0,0
18308020,2017,0,919,0,919,0,0,130025,0,0,-129106,200,0,0,0,0,0,0,0,0,0
18308110,2017,66456,540194,160841,447260,-67907,1553,422573,0,0,185630,10000,0,759027,759604,658550,101054,0,93570,0,2
18308128,2017,0,2,0,0,2,0,8000,0,0,-7998,200,0,0,0,17,0,17,0,17,0
18314774,2017,0,20331,2773,4200,13358,0,81791,0,0,-61460,1200,0,336889,342306,288886,53420,0,49997,0,9
18314863,2017,51035,91429,0,24939,66490,0,91786,0,0,50678,200,0,191024,191039,169916,21123,0,18486,0,1
18318920,2017,659004,2046072,830133,592976,622963,0,1940618,0,0,764458,200,0,7255145,7909407,7013346,896061,0,764218,0,42
18318954,2017,0,10150,5352,3829,969,0,76470,0,0,-66320,200,0,0,0,0,0,0,0,0,0
18328982,2017,6050,997,0,831,166,0,23075,0,0,-16028,200,0,5550,5550,6110,0,560,0,560,0
18329023,2017,250,209672,155739,25117,28816,692,181570,0,0,29044,200,0,663353,663394,656953,6441,0,74,0,3
18329090,2017,0,20691,0,0,20691,0,288,0,0,20403,200,0,0,0,0,0,0,0,0,0
18329104,2017,0,7334,7218,0,116,0,24646,0,0,-17312,0,0,38327,38327,45570,0,7243,0,7782,1
18332010,2017,11360,1238514,0,1173539,64975,0,1099565,0,0,150309,27000,0,3122105,3162735,3022133,140602,0,117909,0,15
18332096,2017,0,95353,92873,283,2197,0,215907,0,0,-120554,200,0,104478,104478,107832,0,3354,0,4399,3
18332118,2017,104455,71714,4129,5743,61842,0,186646,0,0,-10477,200,0,0,0,0,0,0,0,0,0
