cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
776207,2023,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0
776312,2023,5874,247691,200860,4048,42783,0,74743,0,0,178822,45650,0,1534430,1534512,1415875,118637,0,99497,0,2
776584,2023,0,131,0,0,131,0,0,0,0,131,200,0,0,0,100,0,100,0,100,0
776606,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776827,2023,0,283494,48177,150706,84611,1696,609690,0,0,-324500,200,0,355131,365283,395921,0,30638,0,30638,2
776908,2023,756012,834695,619529,212217,2949,0,1446605,0,0,144102,100000,0,818536,830536,818400,12136,0,10894,0,6
777229,2023,3513,1319162,162583,519760,636819,0,940976,0,0,381699,200510,0,2028080,2484973,2576061,0,91088,0,91088,8
777288,2023,2165306,1061206,735692,131594,193920,417932,1495364,0,0,2149080,12620,0,3093963,3124790,3107628,17162,0,14892,0,2
777369,2023,4809549,2292316,1090,1699498,591728,0,6374979,436749,0,290137,50000,0,823550,886150,779600,106550,0,100078,0,6
777857,2023,0,8193,3402,0,4791,0,29362,0,0,-21169,823,0,162470,162471,176487,0,14016,0,15641,4
777997,2023,0,49489,49489,0,0,0,3591685,0,0,-3542196,732600,0,0,0,0,0,0,0,0,0
778003,2023,180779,912177,75287,836136,754,0,757738,0,0,335218,200,0,0,2706,24805,0,22099,0,22099,0
778011,2023,0,129483,0,121584,7899,0,72,0,0,129411,950,0,0,1,-152,153,0,153,0,0
778100,2023,33,8489,0,6084,2405,0,80032,0,0,-71510,200,0,7153,7153,9824,0,2671,0,2671,1
778127,2023,133102,199807,1933,116417,81457,0,49802,0,0,283107,562000,0,983492,983492,870446,113046,0,103408,0,1
778607,2023,662328,425170,123433,114531,187206,20780,763381,0,0,344897,200,0,929121,929248,1005529,0,76281,0,85574,0
778941,2023,287809,1436576,1250602,71240,114734,19478,600056,0,0,1143807,200220,0,13183434,13183607,12621496,562111,0,494502,0,25
779351,2023,4244,153895,106949,32622,14324,0,116334,0,0,41805,200,0,363200,363443,340329,23114,0,19538,0,3
779602,2023,1416001,690272,340919,255697,93656,0,1277551,0,0,828722,144213,0,579683,923546,919849,3697,0,2691,0,4
779947,2023,0,6628,0,5188,1440,0,3078,0,0,3550,200,0,0,2555,350,2205,0,1837,0,0
780003,2023,747502,942011,13854,581966,346191,0,648831,0,0,1040682,11110,0,3158685,3237402,2867512,369890,0,339022,0,9
780046,2023,388868,33349,0,33305,44,0,887931,0,0,-465714,88750,0,0,0,83836,0,83836,0,83836,0
780100,2023,0,121261,4697,28350,88214,0,18642,0,0,102619,200,0,369765,369943,264125,105818,0,102193,0,1
780160,2023,39377,181344,0,156694,24650,0,9515,0,0,211206,369,0,283077,283077,69482,213595,0,210763,0,1
780224,2023,455788,382827,81353,164463,137011,44930,391541,346465,0,145539,2010,0,0,0,0,0,0,0,0,0
780313,2023,5153,275721,30954,236141,8626,0,254370,0,0,26504,22970,0,240769,240769,154513,86256,0,83848,0,1
780410,2023,2635129,6896464,176768,2291619,4428077,0,2439889,0,0,7091704,300000,0,8327313,8492694,4607954,3884740,0,3339530,0,15
780585,2023,322253,877412,329258,448242,99912,0,1062749,0,0,136916,200,0,2723164,2794059,2547939,246120,0,212745,0,3
780925,2023,1088084,427957,330450,831,96676,0,1068131,0,0,447910,100000,0,4828530,4830088,4752270,77818,0,67751,0,17
781068,2023,15559,12964,7693,872,4399,0,54779,0,0,-26256,700,0,131615,142663,141955,708,0,0,608,1
781807,2023,10948,157049,1588,124969,30492,0,38096,0,0,129901,500,0,320590,320590,188148,132442,0,129301,0,1
782055,2023,23483,1094567,27635,35289,1031643,0,33493,0,0,1084557,210,0,933022,967596,472797,494799,0,486259,0,2
782268,2023,513826,562218,8530,41479,511817,0,246369,0,0,829675,30000,0,1768638,1770024,1373186,396838,0,382397,0,15
782314,2023,3629,2233,0,1132,1101,0,4500,0,0,1362,200,0,0,0,0,0,0,0,0,0
782349,2023,223242,556765,345012,166069,45684,0,801006,0,0,-20999,200,0,5890725,5890725,5864770,25955,0,22375,0,13
782500,2023,8094467,4471651,2111853,1132969,1226829,25013,7265378,0,0,5325753,99690,0,27859174,28618487,26231657,2386830,0,2150801,0,39
782810,2023,626367,883168,711483,68988,102697,0,346612,0,0,1162923,3300,0,1047924,1115361,1000971,114390,0,104017,0,4
782845,2023,0,154518,0,0,154518,0,11585214,0,0,-11430696,680350,0,0,0,34994,0,34994,0,34994,0
782896,2023,0,1171,0,1171,0,0,46794,0,0,-45623,6000,0,0,0,0,0,0,0,0,0
783107,2023,107533,52828,4395,997,47436,0,256299,0,0,-95938,200,0,171197,172304,150789,21515,0,18073,0,1
783123,2023,26494,59898,133,0,59765,0,16140,0,0,70252,210,0,362767,362767,301561,61206,0,57578,0,0
783239,2023,60915,662649,81465,52133,528251,107651,92236,0,0,738979,115720,0,2151201,2163722,1993453,170269,0,153923,0,17
783336,2023,24212,744077,146523,220421,183048,676,422650,0,0,346315,5000,0,1460346,1461748,1289662,172086,0,159167,0,2
783379,2023,86575,232658,0,211362,21296,1236,146570,0,0,173899,260,0,671534,671630,492545,179085,0,173482,0,5
783425,2023,3967,22197,22154,15,28,0,69878,0,0,-43714,200,0,0,0,0,0,0,0,0,0
783433,2023,0,6010,0,0,6010,0,3463,0,0,2547,7590,0,155030,164030,395466,0,231436,0,233077,2
783468,2023,57176,403290,14636,98707,289947,140,200310,0,0,260296,220,0,664317,667552,508486,159066,0,137433,0,4
783492,2023,167547,43574,9712,520,33342,1410,112234,0,0,100297,200,0,83883,157877,71368,86509,0,68995,0,0
783530,2023,1783070,1684846,427710,1155829,101307,0,3804915,0,0,-336999,614680,0,1223493,1223493,1363030,0,139537,0,151771,11
783573,2023,6608,89571,0,11046,78525,55588,5406,0,0,146361,3100,0,287722,287723,151324,136399,0,133956,0,1
783638,2023,131176,247498,0,38605,58893,0,17953,0,0,360721,222000,0,181524,187749,75674,112075,0,94321,0,0
783662,2023,52954,890554,0,773215,44239,0,463941,0,0,479567,2216228,0,0,0,83750,0,83750,0,83750,1
783859,2023,66593,236972,21249,9072,206651,0,6422,0,0,297143,400,0,276477,374850,303846,71004,0,68344,0,2
784005,2023,1552234,3245362,2014693,1134399,96270,564,3706594,0,0,1091566,200,0,4808135,4930581,4875472,55109,0,41519,0,5
784064,2023,61196,697579,380072,237749,79758,4353,646684,0,0,116444,1000,0,2347587,2388181,2419069,0,30888,0,54770,5
784099,2023,3056,6102,0,6050,52,0,89315,0,0,-80157,200,0,0,0,1431,0,1431,0,1431,0
784102,2023,94134,1484141,382632,972812,128697,0,723110,0,0,855165,620,0,4427052,4428306,3747739,680567,0,592148,0,12
784269,2023,4845844,4513210,3016691,2495174,-998655,82569,5784438,47250,0,3609935,50000,0,25329921,25482771,24963955,518816,0,426442,0,58
784285,2023,5756,2051,0,797,1254,0,141934,0,0,-134127,1000,0,0,0,6749,0,6749,0,6749,0
784404,2023,200,4159,0,257,3902,0,20004,0,0,-15645,2731913,0,0,81785,74872,6913,0,6913,0,0
784439,2023,0,244444,52675,117189,74580,0,12698,0,0,231746,200,0,449268,450525,218519,232006,0,227603,0,2
784552,2023,740,149536,23265,50222,26049,0,44449,0,0,105827,1000,0,447441,448659,385651,63008,0,59059,0,3
784560,2023,243130,149659,1542,75738,72379,0,26178,0,0,366611,200,0,326411,328052,51421,276631,0,231141,0,1
784579,2023,0,1993,0,176,1817,0,28232,0,0,-26239,850,0,0,0,17830,0,17830,0,17830,0
784803,2023,67489,337161,434,191749,144978,0,96182,0,0,308468,1200,0,427117,427121,238232,188889,0,185197,0,3
785078,2023,15649674,14346862,1306458,1051545,7988859,133665,7156547,2249828,0,20723826,875000,0,54923896,60216196,47096000,13120196,0,11531769,0,165
785167,2023,3531380,8371637,689579,7194156,487902,150668,8542453,0,0,3511232,500,0,793400,871533,855527,16006,0,11357,0,1
785205,2023,128961880,77621068,27935402,47719710,1947532,129500,96019489,4583209,0,106109750,11945059,0,247574934,264531330,250889948,13641382,0,11726155,0,427
785264,2023,0,0,0,0,0,0,1796666,0,0,-1796666,0,0,0,0,0,0,0,0,0,0
785396,2023,0,-107,0,0,-107,4082,18608,0,0,-14633,200,0,0,0,0,0,0,0,0,0
785400,2023,2381939,6057717,5935640,109291,12228,10515,3165384,33906,0,5250881,200,0,3232807,3282024,2445265,836759,0,789431,0,17
785426,2023,0,73802,0,73802,0,0,0,0,0,73802,210,0,0,0,0,0,0,0,0,0
785442,2023,0,1941,0,0,1941,0,1535,0,0,406,210,0,55149,56949,56694,255,0,195,0,1
785582,2023,333024,592174,6395,375534,210245,167472,102508,0,0,990162,355000,0,395881,398709,256903,141806,0,138336,0,1
785590,2023,36115,1271051,1152290,62779,54682,246,631940,0,0,675472,250000,0,3129609,3129793,2951439,178354,0,149385,0,3
785736,2023,66292,79234,0,20043,59191,0,59961,0,0,85565,1340,0,202001,228890,158939,69951,0,67656,0,3
785752,2023,472,8,0,0,8,0,6188,0,0,-5708,200,0,0,0,0,0,0,0,0,0
785949,2023,400,56271,41747,12064,2460,0,56769,0,0,-98,45000,0,622070,623836,641363,0,17527,0,17527,3
785965,2023,0,17739,0,1000,16739,0,93865,0,0,-76126,3020,0,24179,24179,59495,0,35316,0,35558,1
785981,2023,61911,13890,0,9967,3923,0,205924,51458,0,-181581,200,0,0,0,5464,0,5464,0,5464,0
786049,2023,0,604,0,0,604,0,53256,0,0,-52652,5500,0,0,0,1200,0,1200,0,1200,0
786081,2023,1724381,367158,186617,86989,93552,0,2469804,0,0,-378265,210,0,3478443,4520904,3105901,1415003,0,1398071,0,28
786227,2023,0,577234,0,506479,70755,0,729931,0,284093,-436790,150836,0,1514982,1514982,1497248,17734,0,2584,0,4
786359,2023,45757,4434,0,0,4434,0,10732,0,0,39459,200,0,311050,311050,362526,0,51476,0,54525,3
786375,2023,3733,90273,0,3997,86276,0,37871,0,0,56135,200,0,47656,47723,10627,37096,0,31057,0,0
786430,2023,8295,32654,32053,563,38,0,129530,0,0,-88581,210,0,0,0,0,0,0,0,0,0
786464,2023,0,136663,14200,46005,76458,0,11738,0,0,124925,4240,0,266798,276668,159647,117021,0,114309,0,1
786472,2023,483648,23777,0,19295,4482,0,595271,0,0,-87846,3000,0,116084,116084,239348,0,123264,0,124427,1
786480,2023,3059034,1599442,17091,1564027,18324,0,2983590,15125,0,1659761,90170,0,312441,428470,374389,54081,0,49796,0,3
786537,2023,46254,115594,19577,71131,24886,416,65354,0,0,96910,200,0,408268,408268,333560,74708,0,71238,0,1
786561,2023,5647657,421408,352749,57515,11144,7957,824074,0,0,5252948,325710,0,175155,1397863,963505,434358,0,433573,0,3
786723,2023,508295,3628050,432877,858440,2336733,4568,625741,0,0,3515172,210,0,4379812,4409967,3606420,803547,0,693124,0,10
786936,2023,208078,386973,0,386442,531,0,57708,0,0,537343,230,0,217371,268025,258534,9491,0,7317,0,0
787001,2023,93439,957274,12246,280406,664622,133267,98521,0,0,1085459,17160,0,1531899,1532610,654789,877821,0,866342,0,12
787192,2023,50480,5935,1054,4876,5,0,546739,0,0,-490324,62500,0,0,0,400,0,400,0,400,0
787206,2023,2923794,2767370,1985498,752019,29853,0,3091569,0,0,2599595,330,0,3501863,3637162,3460577,176585,0,146304,0,13
787290,2023,1179054,1425152,102861,1600,1320691,0,195190,309919,0,2099097,252000,0,2707412,2850942,2301961,548981,0,529102,0,23
787311,2023,26604158,6284902,1102735,3918355,1263812,10437,727936,0,0,32171561,3394558,0,4845789,5210988,4408567,802421,0,603465,0,17
787338,2023,0,171991,40803,7000,124188,256,34883,0,0,137364,200,0,209132,216963,134295,82668,0,80827,0,1
787400,2023,13995,1,0,0,1,9712,44161,0,0,-20453,200,0,0,0,300,0,300,0,300,0
787419,2023,113867,43880,1447,29499,12934,640,8841,0,0,149546,500,0,109927,110347,102277,8070,0,6751,0,0
787460,2023,1041726,750500,404567,580,345353,0,21062666,0,55165,-19325605,57195145,0,13352,14684,20281,0,5597,0,5597,0
787508,2023,76269,5333,0,0,5333,0,1532,0,0,80070,200,0,40800,40800,41093,0,293,0,1557,1
787524,2023,519818,892455,16502,869178,6775,0,222559,0,0,1189714,285610,0,526288,1643907,827200,816707,0,741680,0,7
787540,2023,0,62179,3816,47260,11103,0,15354,0,0,46825,500,0,56756,56766,66408,0,9642,0,10210,1
787613,2023,2278564,65989,0,37983,28006,6398,100146,0,0,2250805,3088500,0,26052,38806,227802,0,188996,0,190319,1
787656,2023,603402,380805,47459,94560,238786,600,92035,24773,0,867999,200,0,1315165,1340685,1065816,274869,0,263235,0,4
