cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
775961,2018,4232,-6448,-295943,279068,10427,0,92729,0,0,-94945,47012,0,1552557,1557637,1540851,16786,0,12254,0,5
776070,2018,0,28217,21400,807,6010,0,20983,0,0,7234,200,0,36025,36025,35305,720,0,360,0,0
776207,2018,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0
776312,2018,7535,244170,187401,3924,52845,0,111616,0,0,140089,45650,0,1843798,1846633,1744783,101850,0,83806,0,3
776584,2018,0,646,0,0,646,0,516,0,0,130,200,0,0,0,100,0,100,0,100,0
776606,2018,0,0,0,0,0,0,2334,0,0,-2334,200,0,0,0,0,0,0,0,0,0
776827,2018,0,301583,93430,126793,81360,0,429455,0,0,-127872,200,0,350224,462140,486111,0,23971,0,27488,0
776908,2018,950056,636456,499856,133076,3524,0,1481895,0,0,104617,100000,0,852974,852974,846557,6417,0,4574,0,8
777229,2018,265267,855326,341959,44493,468874,0,500282,0,0,620311,200210,0,3928988,3929988,3833521,96467,0,74698,0,12
777288,2018,285203,881408,770462,103103,7843,0,642260,0,0,524351,12620,0,3447898,3490085,3007622,482463,0,447113,0,8
777369,2018,106027,1262176,338564,707799,215813,0,982700,0,0,385503,50000,0,1533570,1560102,1271761,288341,0,272740,0,3
777580,2018,0,0,0,0,0,0,1466,0,0,-1466,402435,0,0,0,0,0,0,0,0,0
777857,2018,0,5656,3753,0,1903,0,43511,0,0,-37855,823,0,88345,88345,85996,2349,0,1470,0,3
777997,2018,0,49489,49489,0,0,0,3591685,0,0,-3542196,732600,0,0,0,0,0,0,0,0,0
778003,2018,436508,960983,104464,842560,13959,0,782227,23271,0,591993,200,0,5521,15786,738,15048,0,14890,0,1
778011,2018,814521,926497,0,922057,4440,0,1489717,0,40863,210438,950,0,3367865,3433698,3049900,383798,0,313194,0,34
778100,2018,1075,6659,0,2237,4422,0,63063,0,0,-55329,200,0,34795,34800,52343,0,17543,0,17881,1
778127,2018,93888,285745,4960,144633,136152,0,1129424,0,0,-749791,217,0,790409,977370,907013,70357,0,60592,0,1
778607,2018,109709,250932,138629,61138,51165,1404,283632,0,0,78413,200,0,404593,406297,384318,21979,0,17933,0,6
778941,2018,395094,988444,790993,41152,156299,40932,682836,0,0,741634,200210,0,9238676,9453450,9216709,236741,0,193294,0,27
779351,2018,23081,36414,25661,898,9855,0,32658,0,0,26837,200,0,186042,186042,148444,37598,0,35732,0,0
779602,2018,153986,499789,154043,209242,136504,0,174744,0,0,479031,144213,0,1080080,1152535,1144948,7587,0,6373,0,8
779947,2018,10776,159348,142541,14280,2527,0,292980,0,0,-122856,200,0,661028,661446,642451,18995,0,12362,0,3
780003,2018,1084960,961509,15821,781034,164654,18035,1695317,0,0,369187,11110,0,4540940,4726930,5451565,0,724635,0,724635,15
780046,2018,706928,48336,0,47710,626,33,544623,0,0,210674,88750,0,0,9570,392486,0,382916,0,383203,0
780100,2018,0,71163,4663,2634,63866,0,14031,0,0,57132,200,0,209687,209687,146690,62997,0,56706,0,1
780160,2018,158778,125021,0,8670,116351,0,119066,0,0,164733,369,0,203410,403221,302299,100922,0,88825,0,0
780224,2018,257440,27776,0,27436,340,0,384422,0,0,-99206,2010,0,0,0,1888,0,1888,0,1888,0
780313,2018,43626,361522,201913,98327,61282,847,495303,0,0,-89308,22970,0,492058,492058,526765,0,34707,0,39628,2
780410,2018,956184,1874744,107931,1574629,192184,0,609073,314669,0,1907186,50000,0,2518721,2762921,2084523,678398,0,653768,0,16
780585,2018,48810,615415,241711,303715,69989,0,527309,0,0,136916,200,0,1924191,1971745,1723331,248414,0,228697,0,0
780860,2018,294,0,0,0,0,0,182,0,0,112,3010,0,0,0,0,0,0,0,0,0
780925,2018,194239,149048,110963,849,37236,147667,261785,0,0,229169,100000,0,2628210,2636634,2628272,8362,0,973,0,14
781068,2018,0,6581,3455,2093,1033,0,44749,0,0,-38168,700,0,287453,287453,289666,0,2213,0,5078,4
781807,2018,12013,29648,0,18894,10754,0,5416,0,0,36245,200,0,204632,204720,116994,87726,0,81584,0,0
782055,2018,146369,347778,64468,42780,240530,0,216948,0,0,277199,210,0,535762,552044,289665,262379,0,256859,0,1
782268,2018,164772,132254,21617,6396,126391,0,77963,0,0,219063,30000,0,1076713,1129370,981088,148282,0,136988,0,17
782314,2018,3629,2233,0,1132,0,0,4500,0,0,1362,200,0,0,0,0,0,0,0,0,0
782349,2018,183334,411416,401950,3503,5963,5039,520186,0,0,79603,200,0,5936748,5944561,5945119,0,558,0,4370,17
