cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
775961,2020,4232,91460,18231,67980,5249,0,72294,0,0,23398,47012,0,468376,472894,507034,0,34140,0,34140,1
776070,2020,0,49750,40726,307,8717,0,22521,0,0,27229,200,0,33000,38545,33529,5016,0,4596,0,1
776207,2020,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0
776312,2020,2308,250660,183737,2036,64887,0,75434,0,0,177534,45650,0,1739908,1749769,1633178,116591,0,98353,0,2
776584,2020,0,431,0,0,431,0,0,0,0,431,200,0,0,0,100,0,100,0,100,0
776606,2020,0,0,0,0,0,0,2334,0,0,-2334,200,0,0,0,0,0,0,0,0,0
776827,2020,0,251761,96562,121028,34171,0,472289,0,0,-220528,200,0,293998,395961,450087,0,54126,0,57065,3
776908,2020,867626,703410,494556,202438,6416,0,1456055,0,0,114981,100000,0,663747,690672,688547,2125,0,1620,0,7
777229,2020,672925,693947,274067,250947,168933,216,953326,0,0,413762,200510,0,3988427,3988427,3808596,179831,0,151631,0,6
777288,2020,226232,1879006,820015,605545,453446,0,285487,0,0,1819751,12620,0,3298773,3358443,2817739,540704,0,514907,0,2
777369,2020,226677,102791,400,69930,32461,0,470417,0,0,-140949,50000,0,8378,-8156,250476,0,258632,0,258632,1
777580,2020,0,0,0,0,0,0,1466,0,0,-1466,402435,0,0,0,0,0,0,0,0,0
777857,2020,0,16242,11634,0,4608,0,19996,0,0,-3754,822,0,105350,105350,94598,10752,0,9695,0,3
777997,2020,0,49489,49489,0,0,0,3591685,0,0,-3542196,732600,0,0,0,0,0,0,0,0,0
778003,2020,182039,914983,73727,838580,2676,0,722233,0,0,374789,200,0,16488,19346,36418,0,17072,0,17579,1
778011,2020,401758,1608737,0,1589753,18984,0,1176791,0,36947,796757,950,0,1042715,1342252,1036903,305349,0,291927,0,27
778100,2020,1207,7136,0,3788,3348,0,67203,0,0,-58860,200,0,14435,14436,10946,3490,0,3296,0,1
778127,2020,113614,111784,60,66692,45032,0,210797,0,0,14601,562000,0,368007,368182,291705,76477,0,73097,0,2
778607,2020,267453,299540,160012,60744,78784,2656,433019,0,0,136630,200,0,533738,548739,493253,55486,0,49966,0,6
778941,2020,238800,1277151,994537,46509,236105,45168,556310,0,0,1004809,200220,0,11185062,11202876,10543400,659476,0,576703,0,26
779351,2020,13067,69083,27608,29029,12446,0,28780,0,0,53370,200,0,129864,131258,159885,0,28627,0,29854,0
779602,2020,287146,453359,49973,113601,289785,0,184892,0,0,555613,144213,0,1122098,1130974,1060108,70866,0,70866,0,3
779947,2020,149,224777,198873,24560,1344,0,304080,0,0,-79154,200,0,135548,239343,186415,52928,0,51614,0,2
780003,2020,653279,1190457,24365,1046207,119885,19357,820249,0,0,1042844,11110,0,3229181,3476640,2878390,598250,0,553662,0,8
780046,2020,388868,36224,0,36173,51,33,668375,0,0,-243250,88750,0,0,0,64128,0,64128,0,64128,0
780100,2020,0,17370,537,2634,14199,0,5638,0,0,11732,200,0,132015,132015,119489,12526,0,11306,0,1
780160,2020,49217,212734,0,85377,127357,0,119092,0,0,142859,369,0,181875,254440,105067,149373,0,142416,0,0
780224,2020,328049,45061,0,40206,4855,0,469564,0,0,-96454,2010,0,0,3866,595,3271,0,3059,0,0
780313,2020,12692,395340,352436,32244,10660,0,385200,0,0,22832,22970,0,273221,273221,272698,523,0,0,4135,4
780410,2020,798202,4086127,146776,2419068,1520283,0,614590,13105,0,4256634,50000,0,4837710,4989116,3606053,1383063,0,1281253,0,4
780585,2020,133216,732021,324223,294847,112951,10520,738841,0,0,136916,200,0,2224864,2304328,2020591,283737,0,262379,0,3
781068,2020,0,6068,2111,3346,611,0,59212,0,0,-53144,700,0,113808,138141,148046,0,9905,0,10939,2
781807,2020,6299,114649,0,1330,113319,0,5051,0,0,115897,500,0,112731,112731,72135,40596,0,38551,0,1
782055,2020,63583,1304454,45790,63956,1194708,0,71014,0,0,1297023,210,0,780670,787587,379531,408056,0,401453,0,2
782268,2020,470347,135773,35786,95970,56536,0,50667,0,0,555453,30000,0,813461,899168,808740,90428,0,84772,0,16
782314,2020,3629,2233,0,1132,1101,0,4500,0,0,1362,200,0,0,0,0,0,0,0,0,0
782349,2020,187736,648903,389741,114039,145123,0,931650,0,0,-95011,200,0,5127235,5132247,5297914,0,165667,0,165667,11
782500,2020,6444364,3387615,1808111,1465002,114502,46480,5297743,0,0,4580716,99690,0,17360400,16991153,16033568,957585,0,876531,0,35
782810,2020,539133,787259,678183,96685,12391,0,411110,0,0,915282,3300,0,321888,336923,446865,0,109942,0,113311,3
782845,2020,0,189512,0,0,189512,0,11585214,0,0,-11395702,680350,0,0,900707,900707,0,0,0,0,0
782896,2020,0,1171,0,1171,0,0,46794,0,0,-45623,6000,0,0,0,0,0,0,0,0,0
783107,2020,54419,18774,4242,2352,12180,0,174362,0,0,-101169,200,0,149681,150803,165315,0,14512,0,19095,0
783123,2020,8087,51595,1496,0,50099,0,11199,0,0,48483,210,0,151488,160033,150418,9615,0,8015,0,3
783239,2020,81415,273720,59519,115866,92582,2344,85325,0,0,272154,115720,0,1007835,1112558,1531240,0,418682,0,424446,17
783336,2020,41246,654952,101022,205749,139004,1593,258809,0,0,438982,5000,0,1351883,1352129,1195171,156958,0,144418,0,2
783379,2020,62158,79944,0,42213,37731,5331,52536,0,0,94897,260,0,492797,500655,402526,98129,0,94480,0,6
783425,2020,3967,22197,22154,15,28,0,69878,0,0,-43714,200,0,0,0,0,0,0,0,0,0
783433,2020,40967,262414,37,112095,150282,2918,15456,0,0,290843,7590,0,127066,127216,144522,0,17306,0,18477,3
783468,2020,20777,102221,10493,15143,76585,173,45001,0,0,78170,220,0,348115,373803,296348,77455,0,75244,0,4
783492,2020,78320,37488,5234,4604,27650,0,48067,0,0,67741,200,0,60336,66604,40572,26032,0,24222,0,0
783530,2020,1962353,1678201,383728,1152976,141497,0,3573583,0,0,66971,614680,0,761970,1519355,1311473,207882,0,193993,0,16
