cif
70774
199206
199281
199427
199753
199761
200084
200220
200394
200700
201470
201713
201721
201772
201950
202468
202549
202786
203307
204272
204299
204400
204736
204868
204884
204930
205103
205278
206117
206141
206524
206753
206761
207007
207198
207317
207449
207520
207538
207651
207716
207856
208720
209393
209555
209601
210061
210150
210274
210355
210363
210460
210487
210673
210878
210991
211083
211105
211393
211571
211911
211920
211954
211970
212038
212216
212283
212305
212488
212747
212810
212828
212984
213289
213408
213599
213726
213785
213874
213904
214071
214160
214306
214314
214403
214543
214578
214900
215026
215158
215310
215425
215611
215689
215816
215859
216293
216641
216897
217000
217086
217256
217531
217639
217698
217701
217728
217957
218197
218308
218375
218430
218596
218898
218936
219036
219109
219362
219478
219729
219877
220030
220170
220278
220839
221036
221044
221591
221761
221966
221974
221982
222341
222465
222570
222716
222740
223037
223312
223690
224229
224482
224865
225089
225267
225402
225526
225542
225747
226122
227489
227608
227624
227730
227926
227950
228298
228573
229013
229064
229269
229307
229331
229366
229595
229617
229919
230018
230123
230379
230450
230700
231285
231323
231382
232027
232132
232612
232949
233243
233278
233308
233421
233782
233898
234028
234710
234800
235147
235163
235708
235945
236010
236320
236398
237717
237946
238453
238526
239220
239327
239351
239432
239491
239670
239882
240119
240127
240372
240747
240810
240879
240933
240992
241050
241386
241394
241572
241939
242098
242128
242187
242519
242527
242551
242578
242900
243093
243484
243743
244080
244242
245043
245205
245248
245710
246170
246294
246537
246774
246944
246979
247451
247540
247575
247621
247931
248163
248201
248457
248643
248880
248961
249320
249355
249614
249924
250120
250570
250643
251070
251568
251754
251860
251916
252245
252709
253046
253186
253771
253852
253879
254050
254211
254270
254904
254998
255098
255705
255748
255853
256654
257102
257110
590130
673783
2314620
2787440
2865734
2865823
2866063
2866276
2866314
2866560
2867026
2867247
2867360
2867530
2867832
2868463
2868471
2868706
2868773
2868854
2868960
2869051
2869060
2869345
2869574
2869833
2869914
2870269
2870382
2870480
2870862
2870951
2871230
2871663
2872138
2872626
2872758
2873362
2873435
2873559
2873796
2874228
2874821
2874929
2875053
2875070
2875355
2875991
2876113
2876253
2876334
2876954
2877283
2877879
2877950
2877984
2878459
2878777
2879616
2879705
2880394
2880831
2880980
2881543
2881594
2882018
2882140
2882638
2882824
2883110
2883668
2883706
2883820
2883846
2884086
2884205
2884639
2885340
2885715
2885758
2885766
2885847
2885987
2886036
2886354
2886524
2887287
2887384
2887570
2887660
2887724
2887732
2887740
2888169
2888371
2888592
2889113
