cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
204396,2021,130349,419480,193894,19360,206226,486,658411,0,0,-108096,200,0,504700,504809,477081,27728,0,22604,0,5
204426,2021,489476,1765873,1732149,6521,27203,0,1945053,0,0,310296,8652,0,354831,357352,74200,283152,0,279628,0,1
204450,2021,41846,400168,51784,333176,15208,594,129487,0,0,313121,200,0,363951,363951,337132,26819,0,23179,0,3
204469,2021,287161,708408,782,253181,454445,2953,83827,64029,0,850666,98280,0,976248,993551,970586,22965,0,19284,0,12
204620,2021,4491,24076,1686,22381,9,1659,389999,0,0,-359773,210,0,0,0,0,0,0,0,0,0
204744,2021,169309,263931,0,49644,214287,0,39640,0,0,393600,200,0,241244,284643,159764,124879,0,122701,0,1
204752,2021,19437,14628,3655,9218,1755,0,40670,0,0,-6605,200,0,0,0,0,0,0,0,0,0
204779,2021,2115,0,0,0,0,0,1265,0,0,850,200,0,0,0,0,0,0,0,0,0
204817,2021,2302497,597828,0,362930,234898,0,344964,0,0,2555361,3010,0,661195,663264,431216,232048,0,226905,0,0
204841,2021,32862,483305,40975,377709,64621,0,133833,385146,0,-2812,15000,0,520935,521464,504307,17157,0,11883,0,4
204906,2021,528828,2028850,43612,972435,1012803,21359,1796371,0,0,782666,14400,0,4505716,4541189,3835475,705714,0,660618,0,71
204949,2021,241786,1742805,387015,1292900,62890,0,1475083,0,0,509508,200,0,291512,352270,284539,67731,0,63965,0,0
204981,2021,113675,205479,47394,139227,18858,0,77007,0,0,242147,1000,0,0,0,804,0,804,0,804,0
205006,2021,0,666,0,0,666,0,22556,0,0,-21890,1170,0,0,291345,133731,157614,0,148862,0,0
205049,2021,91488,146357,28802,8595,108960,0,12669,0,0,225176,500,0,235611,235611,163536,72075,0,70190,0,3
205146,2021,1095470,586193,30223,513078,42892,0,586131,0,0,1095532,100000,0,667937,777200,386632,390568,0,383879,0,6
205251,2021,0,1072,0,1072,0,0,48966,0,0,-47894,200,0,0,0,0,0,0,0,0,0
205260,2021,2561585,816998,0,1211,815787,2144,168802,0,0,3211925,200,0,898902,1129336,462736,666600,0,655644,0,1
205286,2021,74712,35894,0,0,35894,0,12864,0,0,97742,200,0,33116,33116,46340,0,13224,0,13778,1
205294,2021,289643,233551,138767,86345,8439,0,2066537,0,0,-1543343,103500,0,2424693,2475295,2421359,53936,0,29184,0,20
205340,2021,18015,68211,0,42421,25790,0,3375,0,0,82851,200,0,49923,139005,57958,81047,0,79685,0,1
205375,2021,187257,169186,106419,57367,5400,1394,22650,0,0,335187,200,0,20720,25555,26233,0,678,0,1300,0
205499,2021,8252679,7012085,2919920,788302,3303863,9484,3523435,180882,0,11569931,2633169,0,18533736,18576893,15853169,2723724,0,2359106,0,46
205529,2021,4854686,11621420,17983,5186745,6416692,86852,2333516,7814,0,14221628,121000,0,21996803,22108263,18514822,3593441,0,3168192,0,96
205693,2021,838193,725715,4142,1915,719658,14821,14997,0,0,1563732,510,0,142990,157554,214400,0,56846,0,58375,2
205740,2021,152888,42525,0,7523,35002,0,842,0,0,194571,20010,0,73058,73058,8405,64653,0,62461,0,0
205782,2021,340565,480019,0,456961,23058,0,394430,0,0,426154,8550,0,284427,284427,168155,116272,0,109228,0,1
205952,2021,377787,614735,80850,16030,517855,0,473748,0,40761,478013,50000,0,590170,622742,607482,15260,0,13278,0,2
205960,2021,0,133427,91709,39679,2039,0,106216,0,0,27211,4660,0,197695,197743,193437,4306,0,2996,0,1
206214,2021,127154,0,0,0,0,0,87426,0,0,39728,200,0,0,0,0,0,0,0,0,0
206222,2021,5384591,984848,0,982328,2520,0,4632294,0,0,1737145,200,0,18025,18025,114895,0,96870,0,97134,1
206281,2021,0,74893,54126,19573,1194,2000,227215,0,0,-150322,200,0,26620,36299,36650,0,351,0,364,0
206338,2021,16894,3478,2957,79,442,0,277864,0,0,-257492,200,0,3099,3099,14468,0,11369,0,11462,1
206354,2021,26895,93956,58154,35950,-148,0,45444,1,0,75406,7314,0,0,0,0,0,0,0,0,0
206400,2021,39175,9039,0,3585,5454,0,520566,0,0,-472352,200,0,0,0,0,0,0,0,0,0
206516,2021,1836907,702790,7416,636601,58773,7294,628960,0,0,1918031,2500,0,257710,257710,126134,131576,0,125701,0,0
