cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
66498,2020,4146474,5673090,0,1495703,4177387,0,33033,0,0,9786531,3365074,0,2290785,2413038,2125758,287280,0,263782,0,2
70774,2020,0,223738,0,188600,35138,0,2678,0,0,221060,205,0,151861,152331,92054,60277,0,58881,0,1
199001,2020,29073784,1811908,489443,284984,1037481,6414,38063668,60338,25495,-7257395,4000000,0,5076103,3193598,5519131,0,2325533,0,2414495,18
199010,2020,18219284,1094449,0,486997,607452,7766,285725,0,330748,18705026,4474100,0,3297435,3338066,1878094,1459972,0,1428191,0,8
199028,2020,120595964,104944630,55766754,42723053,6454823,264662,55994576,1723650,2837070,165249960,35234236,0,164788455,153916597,152268707,1647890,0,917282,0,420
199044,2020,235726571,37528054,12425241,13356533,11746280,96167,168248735,2632705,83126,102386226,26391783,0,39490995,39853802,27251242,12602560,0,10933446,0,14
199052,2020,767092,421034,0,367277,53757,38,67994,0,0,1120170,370332,0,132545,132545,165617,0,33072,0,36420,1
199109,2020,87992650,20385100,8605069,2859574,8920457,703227,68670892,0,0,40410085,3408789,0,45202896,47575393,38671919,8903474,0,7507003,0,30
199133,2020,6544159,5187898,2091534,3078004,18360,0,3606492,0,0,8125565,1327073,0,10252640,10638049,9911548,726501,0,704076,0,53
199141,2020,34788522,30557629,371675,19635655,10550299,0,38215861,3627236,0,23503054,576268,0,106760048,126012671,121584651,4428020,0,3819652,0,219
199150,2020,83787255,115032447,47762808,48334796,12853098,989167,51167244,97959,597565,147946101,6246485,0,287935337,302993177,275345075,27648102,0,23784567,0,739
199176,2020,31326398,8191763,3911950,3145668,1134145,33741,8119285,3619227,144041,27669349,25786343,0,22193176,24864724,27274531,0,2409807,0,2409807,181
199184,2020,853309,24955,0,13317,11638,0,80191,0,0,798073,697558,0,397553,401394,428596,0,27202,0,31178,0
199192,2020,41739976,4849623,32414,2834342,1982867,0,3133820,0,0,43455779,5696433,0,3304325,3304333,984966,2319367,0,2294729,0,1
199214,2020,4667787,1275436,11996,306939,956501,0,1664783,0,0,4278440,121681,0,336920,348615,339026,9589,0,0,870,0
199222,2020,42335799,43333375,17360227,13265193,12707955,196118,22099033,39715,2243403,61483141,3149503,0,53839438,53425814,36639055,16786759,0,14623683,0,103
199230,2020,44715112,9809619,14397,2088434,7606788,6870,5145883,1048507,0,48337211,712720,0,4879505,5906758,3879769,2026989,0,1739316,0,21
199249,2020,3444563,2928777,942623,936746,1049408,6050,1049224,0,0,5330166,280088,0,3007063,3056270,2924459,131811,0,104774,0,22
199427,2020,0,659,0,636,23,1973,517,0,0,2115,1,0,0,0,0,0,0,0,0,0
199508,2020,18824,3274,5604,-2352,22,0,138465,0,0,-116367,1800,0,0,0,0,0,0,0,0,0
199532,2020,888710,153840,56849,47683,49308,0,39634,0,0,1002916,10070,0,743062,769232,705256,63976,0,57792,0,2
199605,2020,14746467,22796593,11408128,9181900,2206565,49408,5174481,97488,0,32320499,10080,0,85419931,86538305,82129189,4409116,0,3678761,0,184
199648,2020,3740288,543866,28937,360731,154198,0,2750941,0,0,1533213,344400,0,2632575,2678615,3062580,0,383965,0,407924,37
199699,2020,315279,347130,0,328950,18180,0,4399,0,0,658010,100000,0,98896,98899,65024,33875,0,32960,0,1
199729,2020,671746,608880,0,5801,603079,44239,73915,2038,0,1248912,166675,0,502665,515493,392490,123003,0,118235,0,3
199745,2020,57821655,40400010,18813703,16685311,4900996,145545,35869315,5998657,734019,55765219,16209340,0,153615463,158217064,154103717,4113347,0,4113347,0,620
199761,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199770,2020,1162215,218832,8864,172974,36994,0,1511693,0,0,-130646,370,0,889548,918446,1058802,0,140356,0,146507,10
199800,2020,5832539,4420047,259011,3939245,221791,8056,109757294,865079,1594789,-101956520,26465508,0,-11820,-11790,84227,0,96017,0,96017,0
199907,2020,964347,55485,12451,40599,2435,337,0,0,0,1020169,1000,0,85283,280283,171422,108861,0,106603,0,0
199923,2020,10166669,811811,0,763017,48794,2298,1158560,0,0,9822218,22484542,0,46186,1270585,232483,1038102,0,1026458,0,2
199931,2020,16739746,11903142,4463453,6398249,1041440,58719,29549114,3776515,1461817,-6085839,90000,0,5832331,5570301,5432465,137836,0,137836,0,64
199940,2020,18845485,4322650,0,3952414,370236,6501,7785896,0,0,15388740,10112675,0,3932078,3932614,3213115,719499,0,605456,0,14
199958,2020,15017626,37126597,16976768,13623842,6525987,4160973,38489183,0,726457,17089556,1341744,0,56111442,56231384,55106177,1125207,0,920893,0,86
200076,2020,250482,7600,0,3298,4302,0,171913,0,0,86169,4000,0,0,0,11656,0,11656,0,11656,0
200181,2020,1824787,501214,139336,324252,37626,85104,2109173,0,0,301932,1030,0,458450,519826,514142,5684,0,3060,0,1
200203,2020,18113,28461,17586,2298,8577,0,131165,0,0,-84591,200,0,561572,570541,587116,0,16575,0,21794,2
200220,2020,0,577,533,34,0,0,16065,0,0,-15488,200,0,0,0,0,0,0,0,0,0
200289,2020,613211,2037315,31018,206246,1050090,0,712934,0,0,1937592,5000,0,3105602,3108834,2933086,175748,0,148639,0,17
200300,2020,343,39598,2609,36935,54,0,10902,0,0,29039,200,0,0,0,0,0,0,0,0,0
200360,2020,0,21222,0,20862,360,0,28542,0,0,-7320,1252,0,37800,37800,24757,13043,0,12665,0,2
200378,2020,87594,1624611,628354,361119,635138,0,1031919,0,0,680286,200,0,2497209,2318198,1628775,689423,0,671838,0,1
200513,2020,63878815,54859050,5822002,23757605,25279443,535584,44073784,4269089,3182024,67748552,1996660,0,213981047,213690418,204002433,9687985,0,8250177,0,273
200580,2020,35009,74225,66722,2268,5235,0,80212,0,0,29022,200,0,894917,894917,860598,34319,0,26969,0,2
200653,2020,81991,1176523,12394,830841,333288,3199,540510,0,0,721203,30000,0,4323565,4392683,3949510,443173,0,373365,0,9
200700,2020,1554763,1423993,428326,939712,55955,0,6469055,0,0,-3490299,491968,0,0,0,59926,0,59926,0,59926,2
200726,2020,97738,16205,0,100,16105,0,793,0,0,113150,200,0,10210,10210,74287,0,64077,0,64158,1
200777,2020,0,113790,0,4464,109326,0,48466,0,0,65324,211,0,110778,110847,98446,12401,0,9339,0,0
200807,2020,133583,615783,598838,57979,-41034,0,1010171,0,0,-260805,7000,0,966112,978960,935050,43910,0,34865,0,2
200882,2020,44,0,0,0,0,0,710,0,0,-666,200,0,0,0,0,0,0,0,0,0
200947,2020,70625284,36980464,10088792,22133708,4757964,145058,22947958,1907290,5725321,77170237,6978750,0,74321832,76339943,60566237,15773706,0,13100172,0,134
201020,2020,252174,2665703,0,1236274,1429429,98898,999596,0,0,2017179,150000,0,8269752,8313257,6203353,2109904,0,1815587,0,14
201098,2020,397,27030,13675,9226,4129,0,4994,0,0,22433,1000,0,0,0,0,0,0,0,0,0
201128,2020,1752051,1426188,202789,43586,1179813,0,174234,0,0,3004005,240500,0,1437198,1497827,1015077,482750,0,469016,0,4
201136,2020,8914602,21053067,4618663,12949106,3485298,2830793,14355787,0,170887,18271788,3567020,0,21414885,22021687,19564643,2457044,0,1853508,0,92
201217,2020,330231323,193584636,2262280,72712678,118609678,629474,116045551,236581420,6045374,165773088,6878520,0,242384004,257018570,242600481,14418089,0,10900613,0,1944
201250,2020,4272023,5521223,4123748,1219450,178025,65979,5121865,4683,145433,4587244,812670,0,11228151,13832174,13521608,310566,0,310566,0,124
201357,2020,295823,625883,81351,452801,91731,0,1066945,0,0,-145239,527840,0,2220936,4873438,4849942,23496,0,23496,0,49
201373,2020,97330154,40827575,22857799,17430303,539473,3522802,87416820,0,907589,53356122,5113008,0,52083629,57160850,58197608,0,1036758,0,1036758,274
201403,2020,0,0,0,0,0,0,5981,0,0,-5981,93000,0,0,0,0,0,0,0,0,0
201411,2020,3203280,677843,52669,439688,185486,40521,1209480,8192,0,2703972,182055,0,1531940,1648249,1468280,179969,0,164714,0,26
201454,2020,829595,711997,11686,694622,5689,845,7216131,0,0,-5673694,789290,0,1878039,1809792,2479539,0,669747,0,669747,42
201527,2020,12360493,173627,6154,138314,29159,2486,2935748,562310,0,9038548,6344247,0,1403977,3260836,2902186,358650,0,358650,0,14
201535,2020,72374179,21016978,14416412,5621417,46495,45306,14130466,17567,274014,79014416,12325438,0,31568990,33185916,31602521,1583395,0,1371441,0,164
201578,2020,450103,68486,0,66538,1948,0,106447,0,24744,387398,134310,0,10740,10740,4781,5959,0,5637,0,0
201586,2020,8890443,22287549,13691983,8283483,312083,279272,22924043,2382035,0,6151186,5835080,0,23724994,25208516,24965608,242908,0,242908,0,92
201594,2020,8185483,30192875,10499067,19094479,599329,159221,35644768,0,1038195,1854616,1071500,0,40571234,42838305,40557274,2281031,0,2281031,0,132
201608,2020,24032369,2668985,0,886210,1782775,21068,15889671,800382,0,10032369,6858000,0,13615146,14416679,27824289,0,13407610,0,13407610,46
