cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
66498,2023,3922458,5549107,38003,1705989,3805115,0,38704,0,0,9432861,3365074,0,756783,1026837,597013,429824,0,420727,0,1
199001,2023,825372,8100330,0,660708,7439622,12020,1089968,97231,207084,7543439,4000000,0,1821867,2286422,2801317,0,514895,0,506443,6
199010,2023,23098898,552731,2836,435485,114410,26041,1295739,0,259752,22122179,4474100,0,2337601,3151922,1752524,1399398,0,1376863,0,6
199028,2023,180187442,167973739,66277886,101150385,545468,250555,98246489,1186174,2233078,246745995,30096220,0,230715797,229544802,224791875,4752927,0,3919552,0,409
199044,2023,338948471,36361243,17477,17044952,19298814,1061570,228122366,2799893,0,145449025,26391783,0,45354652,47521217,43092796,4428421,0,3758195,0,14
199052,2023,698200,264574,0,224820,9754,0,27964,0,0,934810,370332,0,166064,167925,189221,0,21296,0,21296,1
199109,2023,85576653,16677058,170867,12202735,803456,633274,55178731,270266,0,47437988,3321012,0,25607076,29142218,16411466,12730752,0,10856227,0,33
199133,2023,5492226,7002556,1610968,4823725,567863,0,3842299,0,0,8652483,1327073,0,11501041,11487681,11321178,166503,0,125191,0,50
199141,2023,30841002,64954072,12303819,23715958,28934295,123136,66102417,14124,0,29801669,237500,0,147462850,159610903,153167734,6443169,0,5521149,0,175
199150,2023,123032105,133114474,58478598,61821414,12814462,1071688,64781292,113950,237527,192085498,6246485,0,358274568,375244469,344632626,30611843,0,25995795,0,685
199176,2023,21852014,810149,0,487753,322396,1118,563630,9949,9967,22079735,16503259,0,2480759,6116176,5300707,815469,0,815469,0,18
199184,2023,929610,186568,101,87829,98638,0,428018,0,0,688160,697558,0,556323,557045,566556,0,9511,0,13891,1
199192,2023,47515310,5716024,0,2362365,3353659,0,10872674,0,0,42358660,5696433,0,3645867,3651184,1934426,1716758,0,1378125,0,2
199214,2023,1837504,77443,0,28877,48566,0,781004,0,0,1133943,121680,0,135296,135297,107236,28061,0,24345,0,0
199222,2023,30942695,78247627,43216366,20022305,15008956,319141,29515595,564036,293256,79136576,3149503,0,69880401,71785701,51665728,20119973,0,17506409,0,104
199230,2023,44324918,16469329,1834,2537025,13089450,15550,573208,1246586,0,58990003,605690,0,9419977,12666173,4865091,7801082,0,6809283,0,14
199249,2023,3101661,4054006,670400,925271,2458335,7723,378521,0,0,6784869,0,0,2908524,3014224,2485859,528365,0,496098,0,15
199508,2023,0,4923,7255,-2352,20,0,140114,0,0,-135191,1800,0,0,0,0,0,0,0,0,0
199532,2023,1014575,316641,4097,105066,207478,0,80800,0,0,1250416,10070,0,394048,778914,710329,68585,0,42280,0,1
199605,2023,21505969,24148266,11499795,12641313,7158,62962,14798340,1425256,0,29493601,10080,0,113779261,114938604,108633505,6305099,0,5347762,0,185
199648,2023,1233508,1860963,38565,560881,1261517,0,1398717,0,0,1695754,344400,0,2685482,3412206,4834331,0,1422125,0,1422125,26
199699,2023,0,929392,0,591093,338299,0,33237,0,0,896155,100000,0,178465,1096065,406200,689865,0,680219,0,1
199729,2023,462061,1200565,0,5322,1195243,10325,350784,0,0,1322167,166675,0,550871,626364,429193,197171,0,191490,0,4
199745,2023,53411523,36247000,23478753,11786870,981377,223694,31410557,5295294,509559,52666807,16209340,0,154032848,155126555,151019076,4107479,0,3705643,0,507
199770,2023,1471361,1430301,527608,763309,139384,0,2021886,0,0,879776,370,0,1322628,3206039,2233158,972881,0,950718,0,11
199800,2023,5832539,4257388,258993,3961190,37205,8056,109835838,865079,1594789,-102197723,26465508,0,0,0,80396,0,80396,0,80396,0
199907,2023,900415,1100298,923267,174281,2750,6731,708949,0,0,1298495,1000,0,433278,433278,362255,71023,0,67340,0,1
199923,2023,10926720,1252492,0,638061,614431,1010,705727,0,0,11474495,22484542,0,39920,970301,316422,653879,0,618410,0,1
199931,2023,8930940,10271155,7722183,1845812,703160,343026,15328930,1847247,94835,2274109,90000,0,26336532,27188081,25607947,1580134,0,1402226,0,59
