cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
66498,2018,4379924,4547337,0,1272262,3275075,0,58587,0,0,8868674,3365074,0,649844,788126,597149,190977,0,183096,0,2
70774,2018,4890,157490,0,147926,9564,0,34182,0,0,128198,205,0,182965,183961,146765,37196,0,35365,0,1
199001,2018,30355571,5161619,4058368,645207,458044,14217,36701599,51413,167956,-1389561,4000000,0,8283671,8932459,10817819,0,1885360,0,1911513,41
199010,2018,19469059,638238,0,469603,168635,4530,1075747,0,338531,18697549,4546420,0,2745420,3569928,2057140,1512788,0,1476988,0,9
199028,2018,135947379,104536624,78425189,23503621,2607814,721572,70111859,2124398,1045254,167924064,35234236,0,128783120,147647704,147210330,437374,0,326711,0,429
199044,2018,212166716,17698001,32320,8626944,9038737,42552,132687840,1991208,83126,95145095,26391783,0,39369777,39595139,32983275,6611864,0,5536984,0,34
199052,2018,813020,356410,0,342956,13454,58862,75678,0,0,1152614,370332,0,156234,156234,134540,21694,0,17419,0,1
199109,2018,75540340,4189301,100042,2615303,1473956,2642,50190993,0,0,29541290,3408789,0,12335759,15957602,10177159,5780443,0,4874546,0,16
199133,2018,7541756,2504666,1348305,1126088,30273,0,3113050,1587615,0,5345757,1327073,0,8471396,8974048,8745771,228277,0,228277,0,57
199141,2018,31508022,17705226,3850597,10183747,3670882,413908,30468805,847426,0,18310925,661882,0,57253626,70815393,69504303,1311090,0,1081820,0,181
199150,2018,72655474,89150881,40519322,40585850,7513066,963854,38973339,3108,724000,123069762,6246485,0,236537648,248375423,237509376,10866047,0,9218844,0,730
199176,2018,37933022,10747812,5338355,3906866,1502591,33803,11863821,6488179,150000,30212637,25786343,0,31952446,35095048,34810270,284778,0,284778,0,237
199184,2018,845210,21679,0,12368,9311,0,82159,0,0,784730,697558,0,317625,319864,427927,0,108063,0,111239,1
199192,2018,38297347,3226690,32746,2765987,427957,0,481096,0,0,41042941,5696433,0,4041922,4041943,1155705,2886238,0,2845819,0,2
199206,2018,574326,12127643,3244286,2569234,6314123,205353,4551254,1431,0,8354637,11194809,0,6416401,28637303,34012406,0,5375103,0,5375103,237
199214,2018,4803118,355306,20,264497,90789,38691,1230350,0,0,3966765,121681,0,406257,406269,113988,292281,0,280093,0,0
199222,2018,41210665,28646028,7507145,8742478,12396405,187907,22085740,50,0,47958810,3149503,0,52837384,53835645,37895368,15940277,0,13552870,0,101
199230,2018,39741133,6370497,20006,840318,5415189,21863,6431817,1330241,0,38371435,791910,0,5215721,6113770,3882194,2231576,0,1883312,0,17
199249,2018,3706596,2876399,990413,620181,1265805,6575,1064706,0,0,5524864,311650,0,3277144,3473233,3131695,341538,0,310768,0,27
199427,2018,0,659,0,636,23,1973,517,0,0,2115,1,0,0,0,0,0,0,0,0,0
199508,2018,18824,3274,5604,-2352,22,0,138465,0,0,-116367,1800,0,0,0,50,0,50,0,50,0
199532,2018,905281,212487,75616,126718,10153,0,117710,0,0,1000058,10070,0,591052,669284,563425,105859,0,99144,0,2
199605,2018,16485758,23827526,10763591,13023698,40237,51055,9371932,160904,211820,30619683,10080,0,82675725,83860983,78844326,5016657,0,4051141,0,199
199648,2018,4143799,422812,19295,260871,142646,14800,2116525,0,0,2464886,344400,0,3073730,3137856,3673203,0,535347,0,566739,51
199699,2018,315620,228321,0,225902,2419,0,4963,0,0,538978,100000,0,136023,136025,47043,88982,0,87621,0,1
199729,2018,770155,490755,0,4457,486298,64160,99714,6190,0,1219166,166675,0,477293,493220,399811,93409,0,88489,0,3
199745,2018,73288501,42897929,21664291,20130257,891989,127067,52886352,8385889,1235573,53805683,27947138,0,166768595,175429037,174965641,463396,0,463396,0,753
199770,2018,1654111,445699,222806,215125,7768,0,1054854,0,0,1044956,370,0,925500,1036935,848665,188270,0,178361,0,7
199800,2018,79992569,7852669,3120735,4567214,164720,8056,115432210,865079,1594789,-30038784,26465508,0,578046,586363,1787042,0,1200679,0,1200679,8
199907,2018,886594,78353,21838,36368,20147,0,47576,0,0,917371,1000,0,54956,54956,157591,0,102635,0,104284,0
199923,2018,7489848,1057547,0,845980,211567,5145,1102592,0,0,7449948,22484542,0,385017,1086455,612868,473587,0,462722,0,2
199931,2018,20243701,11857980,3294486,8305727,257767,41422,28942877,6155860,1465439,-4421073,90000,0,4159257,4071404,6679657,0,2608253,0,2608253,56
199940,2018,16722960,6993115,0,6881798,111317,5906,10337149,2474,0,13382358,10112675,0,3720043,3725120,3317995,407125,0,407125,0,15
199958,2018,20000597,12422170,3212209,8814802,395159,152767,13114547,31504,929553,18499930,1341744,0,18365230,21854115,21261731,592384,0,464902,0,90
200076,2018,251605,149236,0,41918,107318,0,284776,0,0,116065,4000,0,486817,486952,437695,49257,0,44386,0,8
200181,2018,2308399,447370,277423,163568,6379,85104,2336067,201420,0,303386,1030,0,417810,623861,1043919,0,420058,0,404204,2
200203,2018,19887,79142,64501,4275,10366,0,138126,0,0,-39097,200,0,787545,767346,785002,0,17656,0,25560,5
200220,2018,0,578,534,34,0,0,16066,0,0,-15488,200,0,57217,57232,58050,0,818,0,1531,1
200289,2018,758107,1563090,60342,115495,987292,1458,486508,0,372629,1463518,5000,0,2422738,2655405,2190102,465303,0,437287,0,19
200300,2018,343,39598,2609,36935,54,0,10872,0,0,29069,200,0,0,0,191,0,191,0,191,0
200360,2018,0,650,0,237,413,0,12032,0,0,-11382,1252,0,29925,30043,28252,1791,0,1496,0,2
200378,2018,129779,1862597,630512,677519,554566,0,93365,0,0,1899011,200,0,3847139,3685372,2714733,970639,0,933668,0,1
200513,2018,48845972,76849085,43931922,27409816,5507347,341180,89888964,4860042,1566102,29721129,1996660,0,79603576,91997060,100587569,0,8590509,0,8590509,281
200580,2018,35009,94969,93431,996,542,0,184319,0,0,-54341,200,0,707388,707388,681767,25621,0,18509,0,3
200653,2018,204946,1047487,523,932800,114164,4796,672852,0,0,584377,30000,0,4822225,4855557,4648981,206576,0,173417,0,18
200700,2018,1554764,1563281,428558,939590,195133,0,6490870,0,0,-3372825,491968,0,0,0,101797,0,101797,0,101797,3
200726,2018,83011,169248,1110,0,168138,0,6276,0,0,245983,200,0,226150,226150,114315,111835,0,109574,0,8
200777,2018,0,126504,0,5316,121188,0,48170,0,0,78334,211,0,119595,119619,37147,82472,0,78884,0,0
200807,2018,42684,405715,346373,87329,-27987,0,658189,0,0,-209790,7000,0,916051,971569,961157,10412,0,696,0,3
200882,2018,44,0,0,0,0,0,710,0,0,-666,200,0,0,0,0,0,0,0,0,0
200947,2018,64870453,30127492,9532310,19452847,1142335,168131,29374268,3290268,1066457,61435083,6978750,0,37226721,45220283,44957260,263023,0,263023,0,125
201020,2018,521350,2642736,0,1713556,929180,208880,1405974,0,0,1966992,150000,0,9109892,9150522,7065316,2085206,0,1765400,0,30
201098,2018,397,27030,13675,9226,4129,0,4994,0,0,22433,1000,0,0,0,0,0,0,0,0,0
201128,2018,2006852,1155133,426129,123384,605620,0,140312,0,0,3021673,240500,0,1467650,1639472,1210341,429131,0,414029,0,5
201136,2018,12235383,18464638,6156784,12071918,235936,93590,4736544,0,148730,25908337,5090000,0,18135970,19634927,17432864,2202063,0,1725581,0,109
201217,2018,263147844,135482106,2568465,58735934,74177707,601213,130314955,123095411,1672042,144148755,6878520,0,185930917,202995325,191380205,11615120,0,8971920,0,1982
201250,2018,5177214,2761005,1146613,1095015,519377,19273,3436589,7894,99422,4413587,812670,0,8812955,9743636,10626269,0,882633,0,882633,111
201357,2018,639625,495960,215909,256920,23131,0,961367,0,0,174218,527840,0,2659626,3376215,4509519,0,1133304,0,1133304,31
