cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
66498,2022,3997106,5079153,46773,1750866,3281514,0,64125,0,0,9012134,3365074,0,822337,1091210,696691,394519,0,384907,0,1
199001,2022,491509,8527471,0,673472,7853999,6371,670028,97476,207966,8049881,4000000,0,2095330,2209931,3071719,0,861788,0,885599,9
199010,2022,23469802,1746832,0,1431539,315293,10412,2997684,0,259752,21969610,4474100,0,3539828,3578613,2311178,1267435,0,1234294,0,7
199028,2022,115122773,145385553,71299390,69992143,4094020,267079,81706753,1345655,2031708,175691289,35234236,0,215471804,219602501,210721512,8880989,0,8192334,0,428
199044,2022,324103660,67586323,18346,44815042,22676142,412486,247498041,2460169,0,142144259,26391783,0,41591359,43447616,32786641,10660975,0,9114308,0,16
199052,2022,721164,264264,0,213138,1126,0,29322,0,0,956106,370332,0,147379,203006,324313,0,121307,0,127192,1
199109,2022,84734354,16071333,1137967,11140910,3792456,713660,54815072,222515,0,46481760,3321012,0,21669196,24757472,16057580,8699892,0,7431349,0,31
199133,2022,5636611,6098985,1777613,4154187,167185,0,3208303,0,0,8527293,1327073,0,14538755,14578390,14486090,92300,0,74270,0,57
199141,2022,56277700,32928524,10676345,19316103,2936076,716414,39245717,532050,0,50144871,450000,0,90145713,103457613,99417483,4040130,0,3662340,0,201
199150,2022,122710669,115712133,54587513,55220289,5904331,1129042,60732510,117615,301979,178399740,6246485,0,298962604,316511171,305623459,10887712,0,9099756,0,679
199176,2022,23676029,9513590,14952,1741920,7756718,0,2210354,416204,15711,30547350,25786343,0,10006945,17093384,15678919,1414465,0,1414465,0,64
199184,2022,1116043,122993,0,59860,63133,0,536985,0,0,702051,697558,0,562421,562446,429710,132736,0,120898,0,1
199192,2022,45494773,8636220,0,4374605,4261615,0,9724000,0,0,44406993,5696433,0,3915384,5894433,2407841,3486592,0,3137053,0,2
199214,2022,1888946,37500,0,17889,19611,0,816848,0,0,1109598,121680,0,314856,307528,364505,0,56977,0,66203,0
199222,2022,29840928,67815515,37714128,17932886,12168501,230758,26848483,129554,864514,70044650,3149503,0,59795920,66035613,50469381,15566232,0,13557452,0,106
199230,2022,44770482,12571383,13781,1585811,10971791,8865,2857849,1068811,0,53424070,712720,0,7849576,9837818,3843615,5994203,0,5195344,0,12
199249,2022,3105211,3587675,858923,780148,1948604,6692,410808,0,0,6288770,280088,0,3130338,3181789,2624873,556916,0,528827,0,17
199427,2022,0,1480,0,1480,0,0,0,0,0,1480,1,0,0,0,635,0,635,0,635,0
199508,2022,0,4923,7255,-2352,20,0,140114,0,0,-135191,1800,0,0,0,0,0,0,0,0,0
199532,2022,779064,1051521,206647,259433,585441,0,93391,0,0,1737194,10070,479058,350142,734304,429481,304823,0,304823,0,2
199605,2022,14447667,24435358,11967190,10893086,1575082,83013,13646245,55433,0,25264360,10080,0,94531123,95630324,89407808,6222516,0,5189454,0,184
199648,2022,2907760,1857975,4044,173031,1680900,0,1647855,0,0,3117880,344400,0,2547833,6957035,4526386,2430649,0,2004409,0,35
199699,2022,314939,11941,0,151,11790,0,110945,0,0,215935,100000,0,135638,135638,73149,62489,0,61295,0,1
199729,2022,496116,3688215,0,2643314,1044901,13733,365767,0,0,3832297,166675,0,539145,3327978,593799,2734179,0,2701621,0,4
199745,2022,55822621,45719141,27369810,16179855,2169476,578360,43949399,6213968,511401,51445354,16209340,0,195351274,203328941,198927154,4401787,0,3681338,0,577
199770,2022,1060617,1427999,1198195,162922,66882,0,2559558,0,0,-70942,370,0,1552891,1588307,1580037,8270,0,0,7288,9
199800,2022,5832539,4249070,259169,3961763,28138,8056,109747124,865079,1594789,-102117327,26465508,0,0,0,80541,0,80541,0,80541,0
199907,2022,1020920,251003,43795,118012,89196,5057,45824,0,0,1231156,1000,0,485889,557889,444479,113410,0,109000,0,1
199923,2022,10175374,1829401,0,851982,977419,1168,1149714,0,0,10856229,22484542,0,50758,896669,200956,695713,0,694064,0,1
199931,2022,10038894,10892387,7222557,3221523,448307,444090,18549693,1851746,102049,871883,90000,0,34269874,49635313,41743581,7891732,0,7240334,0,67
199940,2022,17609845,8856006,0,8698979,157027,1412887,8943271,2798750,0,16136717,10112675,0,4788946,4781150,4201732,579418,0,488565,0,13
199958,2022,11988968,52825401,18104980,20097110,14623311,2784325,54212740,0,650234,12735720,1341744,0,62168985,63944713,68965829,0,5021116,0,5021116,101
200076,2022,151220,4661,0,2502,2159,0,92874,0,0,63007,4000,0,0,0,12351,0,12351,0,12351,0
200181,2022,1455326,273813,116454,154386,2973,85104,1637150,0,-155000,332093,1030,0,478349,524636,500876,23760,0,19179,0,1
200203,2022,18575,88894,83700,2432,2762,0,182260,0,0,-74791,200,0,690759,694354,685321,9033,0,2090,0,3
200289,2022,699649,3303995,32678,287658,2233698,0,2916417,0,0,1087227,5000,0,4783388,4826165,4216827,609338,0,565757,0,20
200300,2022,343,39598,2609,36935,54,0,10902,0,0,29039,200,0,0,0,0,0,0,0,0,0
200360,2022,0,181,0,5,176,0,30536,0,0,-30355,1252,0,60800,60800,61087,0,287,0,895,2
200378,2022,177078,2128221,993483,634096,500642,232,1891447,0,0,414084,200,0,2252512,2384169,1961773,422396,0,404674,0,3
200513,2022,66312467,78821059,27472228,33364956,17983875,574500,61503279,9692595,2783367,71728785,1996660,0,222553013,230047835,220097953,9949882,0,8590274,0,273
200580,2022,40171,32754,21430,754,10570,0,31513,0,0,41412,200,0,83965,83965,84558,0,593,0,3114,0
200653,2022,1074047,2056079,0,1521291,534788,26581,1748522,0,0,1408185,100000,0,7906767,7966796,7112628,854168,0,730211,0,11
200700,2022,1554763,1379359,426346,939712,13301,0,6529815,0,0,-3595693,491968,0,0,0,44539,0,44539,0,44539,1
200726,2022,103565,2211,0,97,2114,0,31033,0,0,74743,200,0,117670,151170,171682,0,20512,0,21694,5
200777,2022,1125,156885,0,6866,150019,0,22700,0,0,135310,211,0,32180,32199,24630,7569,0,6788,0,0
200807,2022,62840,748779,678525,70025,229,0,934781,0,0,-123162,7000,0,877793,877793,800519,77274,0,68346,0,1
200882,2022,44,0,0,0,0,0,710,0,0,-666,200,0,0,0,0,0,0,0,0,0
200947,2022,97502987,36568404,16999424,18912656,656324,126358,44883288,541410,3072608,85700443,6978750,0,73864702,85896420,75646526,10249894,0,8636726,0,168
201020,2022,463078,4498698,0,3203651,1295047,123240,2844581,0,0,2240435,150000,0,11132448,11340268,9148366,2191902,0,1903519,0,15
201098,2022,397,27031,13676,9226,4129,0,4994,0,0,22434,1000,0,0,0,0,0,0,0,0,0
201128,2022,1688687,1733415,228037,564460,940918,0,179378,0,0,3242724,240500,0,1895702,2125077,1366673,758404,0,739382,0,6
201136,2022,11327056,28628002,9049264,19546109,32629,201315,12388690,2910,395821,27368952,3567020,0,35241356,37063841,29508364,7555477,0,6416299,0,107
201217,2022,1150620428,315248360,2912462,189922980,122412918,648561,226553595,973663529,9775984,256524241,6878520,0,291711660,363910649,302048302,61862347,0,57169168,0,1904
201250,2022,3853959,3899750,2807706,1043274,48770,81833,6581778,745,80088,1172931,812670,0,12024820,8653171,12080892,0,3427721,0,3427721,107
201357,2022,26725,1447617,152414,1077979,217224,0,1222493,0,0,251849,527840,0,3298707,5910176,5677708,232468,0,232468,0,52
201373,2022,105782495,45088600,33251755,11550022,286823,3643949,98901327,340817,1720661,53552239,5113008,0,40071274,42347254,61621060,0,19273806,0,19273806,222
201403,2022,0,0,0,0,0,0,8361,0,0,-8361,93000,0,0,0,2380,0,2380,0,2380,0
201411,2022,3151047,1009399,0,788945,220454,0,1097413,7283,0,3055750,182055,0,1828190,2341851,1970398,371453,0,348124,0,18
201454,2022,294697,34571,0,34421,150,0,7396394,30509,0,-7097635,789290,0,1356823,1328871,1729493,0,400622,0,400622,32
201527,2022,10507050,488626,5828,337101,145697,1663,1269520,142607,0,9585212,6344247,0,1478748,1960827,1937881,22946,0,22946,0,8
201535,2022,37000134,79169803,71399802,6703718,190544,494362,35753176,4652,276403,80630068,12313405,0,34457638,36584660,36524507,60153,0,26067,0,161
201578,2022,450103,85464,0,69538,15926,0,107672,0,24744,403151,134310,0,11315,11315,2894,8421,0,8089,0,0
201586,2022,13842237,34677158,20527501,13771663,377994,368934,39122119,1874556,0,7891654,5835080,0,49066845,49395439,48292723,1102716,0,1022429,0,146
201594,2022,14598075,37015726,11035449,23421671,2558606,77309,32987265,0,0,18703845,1071500,0,62618834,67421557,61249072,6172485,0,5844271,0,140
201608,2022,39416000,2480573,0,1025564,1455009,34156,27943390,610579,0,13376760,2800000,0,10715011,11649962,11416570,233392,0,233392,0,40
201659,2022,34091,1015182,254238,750381,10563,0,2850983,0,0,-1801710,213415,0,1050532,1082117,1787500,0,705383,0,705383,34
201691,2022,13546821,8460482,988421,3809169,3662892,6182,11431557,0,0,10581928,2131743,0,19665265,20083579,18814488,1269091,0,1084888,0,12
201705,2022,3149796,9655456,162060,3780537,5712859,0,963158,0,518598,11323496,2810438,0,5088752,5690583,5210183,480400,0,380296,0,32
201730,2022,769262,7380282,3107441,940725,3298126,0,1554459,0,0,6595085,1476000,0,9116865,9292709,8635607,657102,0,564742,0,33
