cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
66498,2019,4222511,5329224,0,1233933,4095291,0,28985,0,0,9522750,3365074,0,690921,1315627,648395,667232,0,654076,0,2
70774,2019,0,228358,0,219680,8678,0,3021,0,0,225337,205,0,244636,269258,169430,99828,0,97139,0,1
199001,2019,29663131,3352059,2640638,265344,335922,16985,37672453,54757,147864,-4842899,4000000,0,7305111,8337389,12130929,0,3793540,0,3453336,38
199010,2019,18851979,472353,0,310764,161589,5808,222558,0,330748,18776834,4474100,0,3327983,4409344,2738706,1670638,0,1628593,0,8
199028,2019,127191954,106171215,73672579,30788995,1709641,194032,65588821,1943126,1692576,164332678,35234236,0,153760394,154960490,158446850,0,3486360,0,3591386,433
199044,2019,230443472,19477684,25601,11836126,7615957,41557,146982230,2431699,83126,100465658,26391783,0,36935733,37596511,26346204,11250307,0,9798335,0,22
199052,2019,790056,394625,0,362506,32119,39240,67331,0,0,1156590,370332,0,145441,145441,137748,7693,0,3977,0,1
199109,2019,103478141,17947929,65853,5105669,12776407,2784,88496361,29412,0,32903081,3408789,0,12822003,15886028,11864797,4021231,0,3390223,0,24
199133,2019,6925035,2817126,1798941,998830,19355,0,2320673,0,0,7421488,1327073,0,11663549,14443650,12843916,1599734,0,1599734,0,66
199141,2019,35468788,18995558,3125368,13449186,2421004,442629,34784725,270030,0,19852220,661882,0,76531263,93997234,92059996,1937238,0,1618813,0,222
199150,2019,84132741,97755285,39549882,44722955,9475717,802798,43909131,6748,613411,138161534,6246485,0,262422160,273218671,256451863,16766808,0,14236561,0,720
199176,2019,33080112,9548474,3638193,5075703,834578,20036,10469100,5110629,150000,26918893,25786343,0,31062841,31318273,34612017,0,3293744,0,3293744,243
199184,2019,787886,14606,0,2269,12337,0,95989,0,0,706503,697558,0,360663,361636,436153,0,74517,0,78124,1
199192,2019,40845561,3167958,32746,2794308,340904,0,640713,0,0,43372806,5696433,0,3400378,3402367,1040182,2362185,0,2329865,0,2
199206,2019,226430,4927182,3076222,1762410,88550,1016,1565004,1431,0,3588193,11194809,0,1847754,3395832,7245261,0,3849429,0,3849429,123
199214,2019,4797479,1314720,32814,266060,1015846,38691,1871580,0,0,4279310,121681,0,420125,420161,95012,325149,0,312545,0,0
199222,2019,49101473,30596715,6965946,16151382,7479387,154927,25558272,25427,0,54269416,3149503,0,48519812,50904247,37112070,13792177,0,11768791,0,100
199230,2019,43672841,7513187,13836,1463421,5935930,21825,5435343,1083595,0,44688915,791910,0,6292793,7379420,4113819,3265601,0,2694812,0,17
199249,2019,3707509,2662580,1001952,906123,754505,5613,1150310,0,0,5225392,280088,0,3281099,3324963,3168628,156335,0,127178,0,23
199427,2019,0,659,0,636,23,1973,517,0,0,2115,1,0,0,0,0,0,0,0,0,0
199508,2019,18824,3274,5604,-2352,22,0,138465,0,0,-116367,1800,0,0,0,0,0,0,0,0,0
199532,2019,879223,248256,59080,174652,14524,0,142455,0,0,985024,10070,0,755892,777566,721825,55741,0,47966,0,0
199605,2019,15983434,23923848,11305708,12523088,95052,50359,8809300,133535,219819,30794987,10080,0,82736166,83624945,79951217,3673728,0,2972618,0,196
199648,2019,3944736,399813,16278,238656,144879,0,2403412,0,0,1941137,344400,0,4063819,4095985,4578774,0,482789,0,523749,56
199699,2019,315450,314661,0,299776,14885,0,4651,0,0,625460,100000,0,138500,138511,50644,87867,0,86482,0,1
199729,2019,720694,545438,0,823,544615,54335,85138,4204,0,1231125,166675,0,488460,509354,403834,105520,0,100448,0,3
199745,2019,62922611,42442818,22589685,18080739,1772394,369334,44931876,7430209,734796,52637882,16209340,0,164069576,176640580,175831413,809167,0,809167,0,690
199770,2019,1190076,313976,12718,230967,70291,0,1488191,0,0,15861,370,0,1217585,1232445,2249217,0,1016772,0,1029095,12
199800,2019,5832539,4514411,259048,3949596,305767,8056,109755641,865079,1594789,-101860503,26465508,0,5906498,5914310,77736030,0,71821720,0,71821720,5
199907,2019,845568,65402,24911,38721,1770,2597,0,0,0,913567,1000,0,176,46679,96980,0,50301,0,50306,0
199923,2019,8715568,1230769,0,875666,355103,2240,1152817,0,0,8795760,22484542,0,59310,1598702,236903,1361799,0,1345812,0,2
